stream;treatment;time.point;squares_total;squares_examined;filtered_volume;Alatospora acuminata;Alatospora fustiformis;Alatospora pulchella;Anguillospora crassa;Anguillospora filiformis;Anguillospora furtiva;Anguillospora longissima;Anguillospora rosea;Anguillospora spec.;Articulospora tetracladia;Campylospora chaetocladia;Clavariopsis aquatica;Clavatospora longibrachiata;Culicidospora aquatica;Culicidospora gravida;Culicidospora spec.;Cylindrocarpon aquaticum;Flagellospora curta;Flagellospora curvula;Flagellospora fusarioides;Fontanospora eccentrica;Fusarium spec.;Heliscus lugdunensis;Heliscus tentaculus;Lemoniera aquatica;Lemoniera centrosphaera;Lemoniera pseudofloscula;Lemoniera sp.;Lemoniera terrestris;Lunulospora curvula;Lunulospora penicilloides;Mycocentrospora acerina;Mycocentrospora angulata;Mycocentrospora sp. Ined.;Porocladium aquaticum;Pseudoanguillospora prolifera;Pseudoanguillospora stricta;Sigmoidea aurantiaca;Stenocladia neglecta;Tetrachaetum elegans;Tetracladium furcatum;Tetracladium marchalianum;Tetracladium maxiforme;Tetracladium sp.;Tricladium angulatum;Tricladium attenuatum;Tricladium chaetocladium;Tricladium curvisporum;Tricladium sp.;Tricladium splendens;Tumularia aquatica;Unknown_A;Unknown_B;Unknown_C;Unknown_D;Unknown_E;Unknown_F
Modenbach;move;April;107;10;3;60;0;5;0;0;0;3;5;0;9;0;18;71;0;0;0;1;0;45;23;0;0;12;0;0;0;0;0;1;0;0;0;0;0;0;1;6;2;0;0;0;12;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0
Modenbach;vine;April;107;10;3;16;0;4;0;0;0;0;5;0;1;0;38;64;0;0;0;0;0;94;5;1;0;6;0;0;1;0;1;8;0;0;0;3;0;0;10;38;12;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otterbach;forest;April;107;10;3;31;0;7;0;0;0;0;0;0;1;0;12;8;5;0;0;0;0;135;6;1;0;25;0;0;0;0;0;0;0;0;0;1;0;0;0;11;5;0;25;0;2;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0
Otterbach;move;April;107;9;3;23;0;1;0;0;3;1;1;0;1;0;22;36;4;0;0;0;0;123;1;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;76;0;5;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
Otterbach;vine;April;107;9;3;7;0;0;0;0;0;0;12;0;3;0;21;24;0;0;0;0;0;150;0;0;0;7;0;3;0;0;0;6;0;0;0;2;0;0;18;44;7;0;0;0;21;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Russbach;forest;April;107;9;3;47;0;7;0;0;4;4;10;0;53;0;1;35;1;0;0;0;0;88;6;20;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;3;10;0;24;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Russbach;move;April;107;9;3;41;0;1;0;0;0;1;9;0;13;0;9;33;0;0;0;1;0;143;15;3;0;6;0;0;0;0;0;4;0;0;0;7;0;0;0;4;17;0;5;0;8;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0
Russbach;vine;April;107;10;3;3;0;3;0;0;1;1;3;0;0;0;2;12;0;0;0;0;0;69;4;2;0;4;0;0;0;1;0;0;0;0;0;1;0;0;0;2;2;0;3;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Triefenbach;forest;April;107;9;3;11;0;1;0;0;3;12;23;0;11;0;3;33;1;0;0;1;0;147;22;6;0;0;0;0;1;1;1;7;0;0;0;2;0;0;0;2;5;0;24;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Triefenbach;move;April;107;10;3;13;0;11;0;0;4;1;14;0;5;0;15;27;0;0;0;0;0;75;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;9;0;44;0;0;0;0;0;0;0;2;0;0;0;2;1;0;0;0;0
Triefenbach;vine;April;107;10;3;11;0;1;0;0;1;0;7;0;2;0;6;16;0;0;0;0;0;29;2;0;0;2;0;0;0;1;0;5;0;0;0;0;0;0;0;2;0;0;7;0;9;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Triefenbach;vine;August;107;10;3;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;8;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;66;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Modenbach;move;August;107;10;3;1;0;0;0;0;0;0;0;0;0;0;6;8;0;0;0;0;0;6;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Triefenbach;forest;August;107;10;3;0;0;0;0;0;0;0;0;0;0;0;4;8;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;0;0;0;0;0;0;7;0;0;1;0;0;0;0;0;0;0
Kropsbach;forest;August;107;10;3;3;0;0;0;0;0;4;0;0;1;0;0;11;1;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;0;0;0;0;36;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
Hainbach;move;August;107;10;3;3;0;0;0;0;0;0;0;0;0;0;7;39;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0
