"Leaf.bag.number","time.point","weight_start","stream","treatment","replicate","number.days","dry_weight_rest","ashes_rest","dry_weight_OMD","ashes_OMD","dry_weight_conidia","ashes_conidia","dry_weight_ergosterol","disks_OMD","disks_conidia","disks_total"
48,"June",4.031,"Triefenbach","vine",1,20,1911.8,303.97,29.2,1.92,15.65,1.07,NA,7,5,33
49,"June",4.042,"Klingbach","vine",4,20,NA,NA,NA,NA,NA,NA,NA,0,0,0
50,"June",3.993,"Hainbach","transplant",3,20,2454.94,633.45,28.37,3.41,18.46,1.42,NA,7,5,33
51,"June",3.988,"Kaiserbach","forest",2,20,NA,NA,NA,NA,NA,NA,NA,0,0,0
52,"June",4.017,"Russbach","forest",1,20,1936.44,205.67,NA,NA,16.13,1.18,NA,0,5,26
53,"June",3.958,"Russbach","vine",4,20,2135.9,591.8,52.08,13.65,16.98,1.95,NA,7,5,33
54,"June",4.031,"Modenbach","forest",6,20,1532.2,368.38,NA,NA,35.78,3.78,NA,0,5,8
55,"June",4.001,"Modenbach","transplant",4,20,2055,385.85,NA,NA,15.03,1.1,NA,0,5,26
56,"June",3.992,"Dierbach","transplant",2,20,2929.43,800.2,31.78,5.23,NA,NA,NA,7,5,33
57,"June",4.014,"Otterbach","transplant",6,20,2308.4,378.41,22.62,2.37,15.1,1.13,NA,7,5,33
59,"June",3.968,"Klingbach","transplant",1,20,2040.01,217.67,18.78,1.13,13.36,1.11,NA,7,5,33
60,"June",3.981,"Dierbach","transplant",1,20,2770.6,1142.41,29.34,5.21,20.68,4.47,NA,7,5,28
62,"June",3.999,"Dierbach","forest",3,20,NA,NA,NA,NA,NA,NA,NA,0,0,0
64,"June",3.978,"Modenbach","vine",6,20,2380,800.2,19.96,1.76,NA,NA,NA,7,5,33
65,"June",3.995,"Kaiserbach","vine",2,20,2525.2,541.39,24.41,2.78,17.58,1.61,NA,7,5,33
66,"June",3.981,"Kropsbach","forest",7,20,1689.9,189.63,18.15,1.33,12.86,0.55,NA,7,5,33
67,"June",3.965,"Kaiserbach","forest",1,20,2350.09,307.48,19.3,1.75,16.16,1.35,NA,7,5,33
68,"June",4.023,"Modenbach","vine",3,20,2068.24,537.24,28.53,4.63,10.47,1.55,NA,7,5,33
69,"June",4.007,"Modenbach","vine",4,20,1923.48,542.38,NA,NA,13.48,2.11,NA,0,5,26
72,"June",4.005,"Hainbach","forest",4,20,1917.6,505.65,NA,NA,14.48,1.58,NA,0,5,26
75,"June",4.007,"Klingbach","forest",6,20,2254.89,271.65,20.53,1.67,NA,NA,NA,7,5,33
76,"June",3.981,"Triefenbach","transplant",7,20,2329.1,293.36,22.49,2.57,15.84,1.92,NA,7,5,33
78,"June",NA,"Dierbach","transplant",3,20,2268.3,395.86,28.02,2.97,16.63,1.53,NA,7,5,33
79,"June",3.981,"Hainbach","vine",7,20,2134.87,400.78,22.33,1.14,20.17,0.74,NA,7,5,33
80,"June",3.952,"Triefenbach","transplant",6,20,2123.4,215.98,27.4,2.06,13.7,2.22,NA,7,5,33
81,"June",4.04,"Kropsbach","transplant",5,20,1216.56,425.06,NA,NA,18.88,2.41,NA,0,5,8
82,"June",4.035,"Triefenbach","transplant",3,20,2496.61,472.79,25.77,2.44,13.69,1.31,NA,7,5,33
83,"June",3.99,"Triefenbach","vine",5,20,2340.7,241.71,32.11,2.92,15.93,1.04,NA,7,5,33
87,"June",4.005,"Kropsbach","forest",3,20,1273,873.08,NA,NA,NA,NA,NA,0,0,0
88,"June",3.999,"Dierbach","forest",4,20,2055,NA,28.49,3.95,18.01,1.56,NA,7,5,33
89,"June",3.952,"Modenbach","vine",2,20,2228.7,553.81,NA,NA,12.37,1.05,NA,0,5,11
90,"June",4.032,"Kropsbach","transplant",2,20,1681.92,986.99,NA,NA,NA,NA,NA,0,5,22
91,"June",4.016,"Triefenbach","transplant",4,20,2070.01,274.17,NA,NA,14.95,0.89,NA,0,5,11
92,"June",3.958,"Hainbach","vine",1,20,2051.4,474.68,22.7,1.31,16.07,1.04,NA,7,5,33
93,"June",3.98,"Kaiserbach","transplant",3,20,2042.64,537.27,NA,NA,17.25,2.91,NA,0,5,11
94,"June",3.991,"Otterbach","vine",5,20,1652.3,264.23,24.49,2.44,NA,NA,NA,7,0,33
95,"June",4.018,"Russbach","forest",7,20,2359.21,323.05,27.58,3.72,18,1.66,NA,7,5,33
96,"June",3.967,"Otterbach","forest",3,20,2511.61,810.12,20.75,3.03,16.23,1.75,NA,7,5,33
97,"June",4.005,"Triefenbach","vine",6,20,2240.1,531.89,25.09,1.56,14.36,0.78,NA,7,5,33
98,"June",4.03,"Kropsbach","transplant",3,20,395,160.9,NA,NA,37.58,8.91,NA,0,5,9
99,"June",4.042,"Modenbach","forest",5,20,2163.21,507.69,21.59,2.76,13.42,1.47,NA,7,5,33
100,"June",4.008,"Klingbach","transplant",4,20,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,"June",3.975,"Kropsbach","transplant",6,20,1360.6,500.2,NA,NA,NA,NA,NA,0,5,8
102,"June",3.953,"Triefenbach","transplant",2,20,1546,192.15,NA,NA,15.02,1.39,NA,0,5,26
104,"June",4.024,"Triefenbach","forest",4,20,2106.4,466.72,22.51,2.32,13.19,1.44,NA,7,5,33
105,"June",4.035,"Russbach","vine",5,20,2316.55,596.2,26.51,3.18,16.01,2.19,NA,7,5,33
106,"June",3.963,"Klingbach","transplant",7,20,1736.44,391.94,NA,NA,18.03,1.48,NA,0,5,11
108,"June",3.974,"Kaiserbach","vine",3,20,2134.34,317.9,24.59,2.73,22.87,2.67,NA,7,5,33
110,"June",4.017,"Triefenbach","vine",2,20,2690.6,673.16,26.26,2.4,14.59,1.09,NA,7,5,33
111,"June",3.986,"Hainbach","transplant",6,20,2169.1,209.36,NA,NA,19.38,1.1,NA,0,5,26
112,"June",4.025,"Modenbach","vine",1,20,1891.72,690.99,NA,NA,19.37,1.75,NA,0,5,8
113,"June",3.979,"Hainbach","transplant",2,20,2189.2,350.04,27.9,1.97,15.95,1.45,NA,7,5,33
115,"June",3.974,"Modenbach","forest",4,20,2450.22,201.73,21.17,1.22,14.34,1.02,NA,7,5,33
119,"June",4.027,"Russbach","transplant",4,20,2496.15,421.23,28.7,2.51,17.98,2.24,NA,7,5,33
123,"June",4.008,"Klingbach","forest",3,20,NA,NA,NA,NA,16.56,1.5,NA,0,5,33
124,"June",3.983,"Otterbach","forest",5,20,2589.75,522.24,24.37,2.86,16.67,1.96,NA,7,5,33
125,"June",3.978,"Modenbach","transplant",1,20,2905.5,1186.79,NA,NA,NA,NA,NA,0,0,3
126,"June",3.981,"Dierbach","transplant",7,20,2336.5,325.48,29.49,3.29,22.32,2.1,NA,7,5,33
127,"June",3.996,"Dierbach","vine",2,20,2516.72,409.74,28.97,3.26,18.08,2.26,NA,7,5,33
129,"June",4.002,"Otterbach","transplant",2,20,2247.55,393.19,NA,NA,11.8,1.01,NA,0,5,26
130,"June",4.033,"Kaiserbach","vine",6,20,2256.36,363.24,26.15,2.69,18.13,2.23,NA,7,5,33
131,"June",4.026,"Kaiserbach","forest",4,20,2311.4,254.51,20.42,1.96,13.62,1.15,NA,7,5,33
133,"June",4.003,"Otterbach","transplant",4,20,2451.43,340.35,26.29,2.06,18.89,2.09,NA,7,5,33
134,"June",4.043,"Modenbach","forest",3,20,2186.91,743.6,NA,NA,15.1,0.91,NA,0,5,33
135,"June",3.965,"Hainbach","forest",6,20,2396.7,203.58,18.05,1.12,13.44,1.13,NA,7,5,33
136,"June",4.048,"Modenbach","forest",1,20,2899.34,1038.88,25.84,3.83,NA,NA,NA,7,0,33
137,"June",4.017,"Russbach","vine",2,20,2220.2,416.22,NA,NA,27.4,4.33,NA,0,5,26
138,"June",4.012,"Modenbach","vine",7,20,2894.9,1234.12,18.42,2.08,NA,NA,NA,7,5,33
139,"June",4.031,"Triefenbach","forest",3,20,2961.9,793.38,22.64,5.99,14.38,0.96,NA,7,5,33
141,"June",4.008,"Kaiserbach","forest",3,20,2160.9,256.09,22.26,2.32,13.11,2.8,NA,7,5,33
144,"June",3.98,"Russbach","forest",3,20,2317.6,362.89,22.27,2.44,17.74,1.09,NA,7,5,33
146,"June",4.035,"Otterbach","vine",7,20,2057.53,260.98,27.63,2.34,19.59,1.48,NA,7,5,33
147,"June",3.984,"Otterbach","vine",1,20,2718.31,466.77,24.74,1.42,19.94,1.75,NA,7,5,33
148,"June",4.04,"Triefenbach","forest",7,20,2450.03,304.08,26.07,1.72,14.74,2.09,NA,7,5,33
150,"June",4.022,"Dierbach","forest",7,20,NA,NA,NA,NA,NA,NA,NA,0,0,0
151,"June",4.029,"Kaiserbach","transplant",1,20,2593.1,1203.14,NA,NA,18.27,1.83,NA,0,5,11
152,"June",4.008,"Kaiserbach","transplant",4,20,2566.45,868.99,NA,NA,15.06,1.21,NA,0,5,11
156,"June",3.979,"Otterbach","forest",4,20,2742.85,611.05,26.03,2.27,15.45,1.77,NA,7,5,33
157,"June",3.956,"Dierbach","transplant",4,20,5646.7,1455.4,18.9,1.5,15.28,1.55,NA,7,5,33
160,"June",3.989,"Dierbach","transplant",6,20,2618.41,467.28,22.39,2.1,16.82,1.94,NA,7,5,33
162,"June",NA,"Hainbach","forest",5,20,3351.6,1198.03,21.93,2.62,13.15,1.24,NA,7,5,33
164,"June",4.031,"Triefenbach","vine",4,20,2542.5,455.38,23.44,3.77,12.56,1.4,NA,7,5,33
165,"June",3.996,"Klingbach","forest",7,20,NA,NA,NA,NA,NA,NA,NA,0,0,0
166,"June",3.958,"Hainbach","vine",2,20,1794.5,258.24,21.11,2.86,14.99,1.14,NA,7,5,33
168,"June",3.972,"Hainbach","transplant",1,20,NA,NA,NA,NA,NA,NA,NA,0,0,0
169,"June",4.048,"Russbach","forest",4,20,2551.27,351.86,32.59,2.68,20.17,1.08,NA,7,5,33
171,"June",3.975,"Triefenbach","forest",6,20,2721.3,529.04,21.29,1.64,15.29,1.68,NA,7,5,33
172,"June",4.047,"Dierbach","forest",6,20,2280.73,343.56,24.8,1.88,18.92,1.31,NA,7,5,33
176,"June",4.001,"Dierbach","vine",6,20,2369.42,409.15,24.31,3.13,17.79,2.44,NA,7,5,33
178,"June",4,"Otterbach","forest",1,20,2540.06,585.21,24.44,3.28,15.2,1.34,NA,7,5,33
180,"June",4.036,"Russbach","transplant",3,20,2399.1,523.19,28.79,3.53,25.3,2.86,NA,7,5,33
181,"June",3.994,"Russbach","transplant",1,20,2289.36,590.05,26.2,4.36,16.03,2.68,NA,7,5,33
182,"June",3.956,"Kropsbach","vine",7,20,NA,NA,NA,NA,NA,NA,NA,0,0,0
183,"June",4.005,"Klingbach","forest",4,20,2718.36,807.65,31.04,2.99,NA,NA,NA,7,0,28
184,"June",4.027,"Otterbach","vine",4,20,2912.68,664.98,21.67,1.73,14.11,0.88,NA,7,5,33
185,"June",4,"Kropsbach","transplant",7,20,NA,NA,NA,NA,NA,NA,NA,0,0,0
186,"June",4.038,"Klingbach","transplant",5,20,1962,502.78,NA,NA,19.55,2.16,NA,0,5,23
187,"June",3.981,"Kropsbach","forest",1,20,1275.8,405.45,NA,NA,16.46,3.12,NA,0,5,11
188,"June",4.009,"Dierbach","transplant",5,20,1800.98,219.75,32.92,2.67,19.72,1.73,NA,7,5,33
190,"June",3.954,"Kropsbach","vine",1,20,NA,NA,NA,NA,NA,NA,NA,0,0,0
192,"June",4.028,"Triefenbach","vine",7,20,2003.2,160.7,19.72,1.18,NA,NA,NA,7,5,33
193,"June",3.997,"Hainbach","vine",3,20,2096,445.37,23.09,1.82,14.34,1.76,NA,7,5,33
194,"June",3.978,"Kaiserbach","vine",4,20,2190.09,394.21,22.84,2.08,15.29,1.78,NA,7,5,33
195,"June",4.01,"Kaiserbach","vine",5,20,2185.6,516.02,NA,NA,13.47,1.12,NA,0,5,26
197,"June",3.969,"Modenbach","transplant",3,20,2006.5,1030.99,NA,NA,14.01,1.68,NA,0,5,26
202,"June",4.018,"Otterbach","vine",2,20,2650.7,690.31,NA,NA,18.1,2.73,NA,0,5,26
203,"June",3.991,"Otterbach","transplant",5,20,2103.75,291.97,26.62,2.13,21.67,2.88,NA,7,5,33
204,"June",4.005,"Hainbach","forest",2,20,NA,NA,NA,NA,NA,NA,NA,0,0,0
205,"June",4.001,"Russbach","transplant",6,20,2291.2,647.83,22.18,2.72,20.18,2.18,NA,7,5,33
206,"June",3.981,"Klingbach","forest",2,20,2414.07,435.45,25.87,4.51,NA,NA,NA,7,5,33
207,"June",4.018,"Kropsbach","vine",4,20,1169,358.48,NA,NA,NA,NA,NA,0,0,0
208,"June",3.96,"Hainbach","vine",6,20,2314,336.54,29.98,1.66,14.73,1.81,NA,7,5,33
211,"June",4.03,"Kropsbach","vine",5,20,2424.09,998.97,NA,NA,22.92,0.99,NA,0,5,22
213,"June",3.984,"Russbach","transplant",7,20,2237.33,505.32,25.48,2.44,15.29,2.16,NA,7,5,33
214,"June",4.004,"Klingbach","vine",2,20,2716.05,483.49,29.05,3.42,13.8,0.77,NA,7,5,33
215,"June",3.971,"Klingbach","vine",6,20,2227.53,551.95,NA,NA,NA,NA,NA,0,5,26
216,"June",3.976,"Triefenbach","transplant",5,20,2150.9,306.4,18.68,2.27,17.24,1.46,NA,7,5,33
218,"June",3.954,"Triefenbach","transplant",1,20,1953.5,376.53,26.62,2.7,13.88,1.36,NA,7,5,33
219,"June",3.957,"Klingbach","vine",3,20,2405.25,698.41,NA,NA,11.45,0.84,NA,0,5,26
221,"June",4.026,"Dierbach","vine",1,20,2474.13,350.48,24.15,2.47,16.88,1.96,NA,7,5,33
223,"June",4,"Hainbach","vine",5,20,3092.74,1121.4,25.32,2.47,13.52,1.1,NA,7,5,33
224,"June",3.986,"Russbach","forest",6,20,2371.1,241.09,26.19,1.67,14.88,0.99,NA,7,5,33
225,"June",4.021,"Russbach","vine",6,20,2164.76,449.31,NA,NA,13.91,2.08,NA,0,5,26
226,"June",4.003,"Hainbach","transplant",4,20,3688.87,1610.01,19.08,1.36,13.21,0.94,NA,7,5,33
227,"June",4.001,"Dierbach","forest",1,20,2841.98,511.71,35.94,3.52,18.66,1.94,NA,7,5,33
228,"June",4.03,"Otterbach","vine",6,20,NA,NA,NA,NA,NA,NA,NA,0,0,0
231,"June",3.958,"Modenbach","vine",5,20,2418.68,547.22,NA,NA,14.83,0.76,NA,0,5,11
232,"June",4.039,"Dierbach","vine",7,20,2339.27,285.45,27.1,2.04,15.26,1.27,NA,7,5,33
233,"June",3.994,"Otterbach","forest",2,20,2129.05,509.87,NA,NA,18.03,1.82,NA,0,5,26
234,"June",4.044,"Kaiserbach","forest",7,20,2566.5,384.3,26.98,2.25,11.64,1.23,NA,7,5,33
236,"June",3.982,"Modenbach","transplant",2,20,1948.8,365.52,NA,NA,NA,NA,NA,0,0,6
237,"June",4.049,"Modenbach","forest",7,20,NA,NA,NA,NA,NA,NA,NA,0,0,0
238,"June",3.974,"Kaiserbach","vine",7,20,2247.55,601.3,28.7,4.4,14.62,1.69,NA,7,5,33
240,"June",3.999,"Kaiserbach","transplant",6,20,2624.11,777.78,20.99,1.86,12.62,1.42,NA,7,5,33
241,"June",3.977,"Otterbach","transplant",3,20,2938.06,1178.03,23.6,2.03,17.46,2.02,NA,7,5,33
243,"June",3.98,"Dierbach","forest",5,20,2305.02,238.64,21.26,1.62,13.68,0.95,NA,7,5,33
252,"June",3.953,"Russbach","vine",1,20,2589.57,524.58,21.55,1.87,15.96,1.85,NA,7,5,33
256,"June",3.986,"Kaiserbach","forest",6,20,2472.9,361.69,17.48,1.3,13.87,1.21,NA,7,5,33
260,"June",3.977,"Kropsbach","forest",2,20,1086,629.07,NA,NA,NA,NA,NA,0,0,0
261,"June",3.985,"Hainbach","forest",7,20,2739.2,577.98,23.59,2.62,17.23,1.58,NA,7,5,33
262,"June",4.018,"Modenbach","transplant",5,20,1139.8,395.76,NA,NA,18.32,2.17,NA,0,5,11
265,"June",4.013,"Russbach","forest",2,20,2249.79,237.06,18.68,1.26,12.57,0.72,NA,7,5,33
266,"June",4.006,"Otterbach","forest",6,20,2460.8,378.76,21.79,1.51,19.94,1.47,NA,7,5,33
269,"June",4.033,"Otterbach","transplant",7,20,NA,NA,NA,NA,NA,NA,NA,0,0,0
271,"June",3.96,"Modenbach","transplant",6,20,2614.6,1016.71,NA,NA,13.44,1.32,NA,0,5,11
275,"June",4.03,"Hainbach","transplant",7,20,2005.4,447.31,NA,NA,15.14,2.07,NA,0,5,26
276,"June",3.975,"Kropsbach","transplant",1,20,1593.3,827.68,NA,NA,17.12,2.86,NA,0,5,9
283,"June",3.985,"Klingbach","forest",5,20,2536.5,453.62,19.14,1.78,12.67,0.91,NA,7,5,33
287,"June",NA,"Russbach","transplant",5,20,2241.27,402.63,29.18,3.39,19.78,2.64,NA,7,5,33
288,"June",3.971,"Kaiserbach","forest",5,20,2476.72,376.72,17.29,1.67,11.12,0.98,NA,7,5,33
291,"June",4.034,"Russbach","transplant",2,20,3114.53,1533,26.71,5.3,14.52,3.03,NA,7,5,33
294,"June",3.961,"Kropsbach","transplant",4,20,991.5,584.88,NA,NA,NA,NA,NA,0,0,0
295,"June",4.041,"Kropsbach","forest",4,20,NA,NA,NA,NA,NA,NA,NA,0,0,0
296,"June",4.004,"Klingbach","transplant",6,20,1748.67,NA,NA,NA,16.13,1.51,NA,0,5,8
298,"June",3.979,"Modenbach","transplant",7,20,1656.1,878.73,NA,NA,NA,NA,NA,0,5,11
305,"June",4.043,"Otterbach","vine",3,20,2177.06,433.17,NA,NA,NA,NA,NA,0,5,33
327,"June",3.972,"Hainbach","vine",4,20,2252.08,303.35,21.43,1.42,16.41,1.57,NA,7,5,33
506,"June",3.962,"Isenach","vine",1,20,1990.9,599.72,NA,NA,15.06,1.28,NA,0,5,21
517,"June",4.04,"Isenach","transplant",3,20,2536.56,537.57,22.39,3.17,10.38,1.02,NA,7,5,33
563,"June",4.003,"Isenach","forest",1,20,2512,484.26,22.1,3.2,12.9,0.87,NA,7,5,33
571,"June",4.015,"Isenach","forest",3,20,2417.21,403.56,31.4,3.93,16.99,1.4,NA,7,5,33
612,"June",3.956,"Isenach","vine",7,20,NA,NA,NA,NA,NA,NA,NA,0,0,0
658,"June",3.972,"Isenach","forest",2,20,2541.1,467.25,18.53,2.06,12.42,0.85,NA,7,5,33
659,"June",4.016,"Isenach","transplant",7,20,1761.15,213.8,NA,NA,16,1.23,NA,0,5,11
664,"June",4.046,"Isenach","vine",3,20,5225.67,2989.54,18.6,1.53,13.63,0.67,NA,7,5,33
665,"June",4.026,"Isenach","vine",2,20,3651.8,1767.58,30.08,9.96,19.23,2.1,NA,7,5,34
671,"June",3.994,"Isenach","forest",7,20,2574.69,296.68,23.4,2.34,19.45,2.37,NA,7,5,33
679,"June",4.004,"Isenach","transplant",5,20,2869.52,807.3,33.33,6.98,17.02,2.06,NA,7,5,33
683,"June",4.005,"Isenach","transplant",4,20,2019.1,521.51,NA,NA,18.16,1.4,NA,0,5,11
685,"June",4.009,"Isenach","transplant",2,20,2788.1,781.83,17.54,1.73,12.01,1.18,NA,7,5,33
700,"June",4.001,"Isenach","transplant",6,20,1803.24,215.71,NA,NA,19.34,1.65,NA,0,5,11
714,"June",4.011,"Isenach","forest",6,20,2498.1,344.03,20.1,1.54,12.44,0.72,NA,7,5,33
721,"June",4.045,"Isenach","forest",5,20,2747.3,503.97,NA,NA,15.8,1.44,NA,0,5,33
724,"June",3.975,"Isenach","vine",6,20,1791.32,461.18,NA,NA,15.04,1.29,NA,0,5,11
756,"June",4.036,"Isenach","forest",4,20,2592.68,462.39,31.11,3.93,17.89,1.47,NA,7,5,33
768,"June",3.966,"Isenach","transplant",1,20,1835.1,261.8,NA,NA,10.42,0.95,NA,0,5,26
769,"June",3.953,"Isenach","vine",5,20,2572.13,1073.63,36.99,8.66,11.79,1.06,NA,7,5,33
1,"August",7.03,"Kropsbach","forest",4,22,3016.9,735.09,NA,NA,14.45,1.16,NA,0,5,11
3,"August",6.967,"Dierbach","vine",1,22,2687.8,382.37,22.98,2.43,17.38,1.72,NA,7,5,33
6,"August",6.964,"Triefenbach","transplant",4,22,NA,NA,NA,NA,NA,NA,NA,0,0,0
7,"August",6.974,"Modenbach","forest",2,22,3778.04,2234.71,NA,NA,NA,NA,NA,0,5,8
8,"August",7.04,"Hainbach","transplant",2,22,3514.51,489.96,20.27,1.61,15.62,1.13,NA,7,5,33
11,"August",6.978,"Isenach","transplant",7,22,6082.73,2508.86,29.06,7.23,15.73,2.93,NA,7,5,33
12,"August",7.019,"Otterbach","forest",5,22,4177.43,846.4,24.45,2.94,17.03,1.78,NA,7,5,33
13,"August",6.993,"Dierbach","transplant",6,22,2159.22,890.99,NA,NA,13.27,1.75,NA,0,5,11
17,"August",7.017,"Dierbach","transplant",2,22,2765.61,519.33,NA,NA,20.09,2.24,NA,0,5,26
18,"August",6.966,"Triefenbach","vine",2,22,3473,829.5,23.76,2.04,14.99,1.01,NA,7,5,33
20,"August",7.02,"Klingbach","transplant",4,22,2823.41,766.39,NA,NA,NA,NA,NA,0,0,3
21,"August",7.003,"Modenbach","forest",3,22,3335.1,1180.4,NA,NA,20.78,2.01,NA,0,5,33
22,"August",6.968,"Otterbach","transplant",1,22,3985.42,733.88,22.49,2.06,16.28,1.55,NA,7,5,33
23,"August",7.029,"Modenbach","vine",1,22,5501.53,2122.76,24.72,4.13,20.76,3.63,NA,7,5,33
26,"August",6.96,"Kaiserbach","forest",6,22,4567.25,1079.51,22.8,3.28,15.96,2.47,NA,7,5,33
27,"August",7.05,"Otterbach","vine",3,22,5693.02,2276.33,25.85,2.24,20.04,2.58,NA,7,5,33
28,"August",7.036,"Modenbach","forest",4,22,3758.71,345.94,23.11,2.38,14.91,1.16,NA,7,5,26
30,"August",6.975,"Triefenbach","forest",7,22,3519.8,411.48,25.4,1.76,16.66,1.27,NA,7,5,33
33,"August",7.043,"Russbach","vine",7,22,5664.55,2016.22,NA,NA,15.33,1.77,NA,0,5,33
38,"August",7.006,"Kropsbach","vine",5,22,2545.64,399.7,NA,NA,NA,NA,NA,0,0,3
39,"August",6.99,"Hainbach","forest",1,22,2813.71,198.84,NA,NA,17.39,1.27,NA,0,5,11
40,"August",6.966,"Dierbach","forest",2,22,1119.1,476.99,NA,NA,NA,NA,NA,0,5,0
41,"August",7.032,"Modenbach","transplant",2,22,4354.46,1409.95,26.62,3.59,16.01,1.95,NA,7,5,33
44,"August",6.972,"Kropsbach","forest",3,22,NA,NA,NA,NA,NA,NA,NA,0,0,0
46,"August",6.994,"Kaiserbach","forest",5,22,3462.92,361.77,23.03,1.97,14.09,1.28,NA,7,5,33
47,"August",6.959,"Dierbach","transplant",4,22,3377.58,1009.53,20.09,2.39,14.04,2.06,NA,7,5,33
48,"August",6.998,"Isenach","transplant",5,22,3562.6,459.61,16.54,1.19,13.16,1.39,NA,7,5,33
50,"August",6.998,"Modenbach","transplant",1,22,4497.66,2660.03,26.97,4.96,16.92,2.72,NA,7,5,33
52,"August",7.033,"Klingbach","forest",5,22,NA,NA,NA,NA,18.89,1.66,NA,0,5,26
53,"August",7.024,"Hainbach","vine",2,22,3357.66,468.3,NA,NA,15.99,1.58,NA,0,5,26
54,"August",6.958,"Dierbach","forest",1,22,3533.07,944.11,22.9,1.81,16.32,1.58,NA,7,5,33
55,"August",6.996,"Klingbach","vine",1,22,4887.66,134.14,18.36,1.68,13.37,0.97,NA,7,5,33
56,"August",7.038,"Russbach","forest",5,22,4382.6,786.9,NA,NA,13.9,1.38,NA,0,5,26
57,"August",7.045,"Klingbach","forest",1,22,3442.29,503.29,24.11,1.49,21.36,1.61,NA,7,5,33
59,"August",6.979,"Hainbach","transplant",7,22,2650.9,289.49,NA,NA,20.59,1.34,NA,0,5,8
60,"August",6.968,"Isenach","transplant",6,22,6052.2,2572.9,31.2,11.15,14.57,2.46,NA,7,5,33
66,"August",6.987,"Dierbach","vine",3,22,4472.83,1499.95,21.58,2.83,17.46,2.59,NA,7,5,33
67,"August",6.995,"Hainbach","forest",6,22,3072.59,491.72,27.1,1.28,16.7,1.04,NA,7,5,33
68,"August",7.004,"Dierbach","forest",6,22,2441.81,856.24,NA,NA,NA,NA,NA,0,5,11
69,"August",7.014,"Klingbach","transplant",5,22,3712.03,625.65,NA,NA,14.8,1.35,NA,0,5,33
75,"August",6.959,"Hainbach","vine",6,22,3376.9,449.07,NA,NA,18.12,1.7,NA,0,5,26
76,"August",7.022,"Hainbach","vine",1,22,4780.4,1332.88,27.07,1.41,16.57,0.91,NA,7,5,33
78,"August",6.995,"Hainbach","forest",4,22,3390.26,295.23,23.62,0.97,15.58,1.01,NA,7,5,33
79,"August",6.993,"Hainbach","forest",5,22,1961.32,403.36,20.93,2.74,24.01,7.84,NA,7,5,33
80,"August",7.004,"Russbach","transplant",2,22,3640,907.07,NA,NA,14.08,1.8,NA,0,5,26
81,"August",7.05,"Modenbach","forest",5,22,2547.42,859.14,NA,NA,19.12,1.64,NA,0,5,8
82,"August",7.046,"Hainbach","transplant",4,22,4563.4,920.93,22.04,3.61,15.86,1.7,NA,7,5,33
83,"August",7.014,"Russbach","forest",3,22,4379.39,700.3,21.01,3.12,14.02,1.71,NA,7,5,33
85,"August",6.985,"Modenbach","vine",2,22,3594.79,576.28,NA,NA,15.95,1.67,NA,0,5,26
88,"August",7.027,"Triefenbach","vine",4,22,3473.05,601.56,18.92,1.58,15.45,1.86,NA,7,5,33
89,"August",7.005,"Triefenbach","forest",4,22,4620.8,2137.12,23.02,2.56,15.79,1.46,NA,7,5,33
90,"August",7.021,"Kropsbach","transplant",6,22,2701.9,510.77,NA,NA,20.97,1.63,NA,0,5,11
91,"August",7.031,"Russbach","transplant",5,22,3348.58,669.7,25.8,3.81,17.46,2.63,NA,7,5,26
92,"August",7.017,"Russbach","vine",6,22,5401.9,2178.14,22.48,2.85,17.23,2.57,NA,7,5,33
93,"August",6.963,"Hainbach","transplant",3,22,NA,NA,NA,NA,NA,NA,NA,0,0,0
94,"August",7.01,"Kaiserbach","transplant",7,22,6801.6,3841.71,25.81,5.58,14.48,2.14,NA,7,5,33
97,"August",6.981,"Modenbach","vine",6,22,3776.5,512.61,28.11,2.49,18.24,2.99,NA,7,5,33
98,"August",7.046,"Triefenbach","vine",5,22,3577.5,761.41,30.14,3.49,17,1.17,NA,7,5,33
99,"August",7.005,"Hainbach","forest",2,22,1507.42,140.1,NA,NA,17.45,0.82,NA,0,5,8
101,"August",7.028,"Modenbach","transplant",7,22,3760.8,771.6,23.11,1.48,NA,NA,NA,7,5,33
102,"August",7.017,"Dierbach","transplant",1,22,2729.9,1473.89,NA,NA,NA,NA,NA,0,0,3
104,"August",6.983,"Russbach","transplant",4,22,3800.67,892.02,NA,NA,16.92,2.06,NA,0,5,26
105,"August",7.008,"Kropsbach","transplant",3,22,2420.1,372.98,NA,NA,NA,NA,NA,0,0,3
106,"August",7.04,"Kropsbach","vine",4,22,4720,2024.56,NA,NA,22.44,6.38,NA,0,5,26
108,"August",6.962,"Modenbach","vine",5,22,5385.2,2123.76,35.77,11.13,19.39,5.05,NA,7,5,33
110,"August",7.017,"Otterbach","transplant",4,22,2118.92,987.88,NA,NA,14.03,1.94,NA,0,5,11
111,"August",7.031,"Otterbach","transplant",5,22,3449.3,1310.44,24.54,2.68,16.77,1.61,NA,7,5,33
112,"August",7.027,"Triefenbach","vine",7,22,3405.1,837.94,NA,NA,15.09,1.2,NA,0,5,26
113,"August",6.952,"Triefenbach","transplant",5,22,3078.8,579.47,18.69,1.59,10.96,0.87,NA,7,5,33
114,"August",6.981,"Kaiserbach","forest",4,22,4127.84,530.02,28.95,2.45,16.3,2.05,NA,7,5,33
